number,department,municipality,area,location,address,electoralLoad
00117,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB RAFAEL  PINEDA PONCE,028-COL. SUYAPA,346
00118,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB RAFAEL  PINEDA PONCE,028-COL. SUYAPA,346
00119,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB RAFAEL  PINEDA PONCE,028-COL. SUYAPA,346
00120,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB RAFAEL  PINEDA PONCE,028-COL. SUYAPA,346
00121,01-ATLANTIDA,01-LA CEIBA,1-URBANA,GIMNASIO JOSE SIMON AZCONA,029-COL. TORONJAL,340
00122,01-ATLANTIDA,01-LA CEIBA,1-URBANA,GIMNASIO JOSE SIMON AZCONA,029-COL. TORONJAL,340
00123,01-ATLANTIDA,01-LA CEIBA,1-URBANA,GIMNASIO JOSE SIMON AZCONA,029-COL. TORONJAL,340
00124,01-ATLANTIDA,01-LA CEIBA,1-URBANA,GIMNASIO JOSE SIMON AZCONA,029-COL. TORONJAL,340
00125,01-ATLANTIDA,01-LA CEIBA,1-URBANA,GIMNASIO JOSE SIMON AZCONA,029-COL. TORONJAL,339
00126,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. REPUBLICA DEL JAPON,030-COL. KAWAS O LA FLORIDA,354
00127,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. REPUBLICA DEL JAPON,030-COL. KAWAS O LA FLORIDA,354
00128,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. REPUBLICA DEL JAPON,030-COL. KAWAS O LA FLORIDA,354
00129,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. REPUBLICA DEL JAPON,030-COL. KAWAS O LA FLORIDA,354
00130,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. REPUBLICA DEL JAPON,030-COL. KAWAS O LA FLORIDA,354
00131,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. REPUBLICA DEL JAPON,030-COL. KAWAS O LA FLORIDA,354
00132,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. REPUBLICA DEL JAPON,030-COL. KAWAS O LA FLORIDA,353
00133,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. REPUBLICA DEL JAPON,030-COL. KAWAS O LA FLORIDA,353
