Código Departamento,Departamento,Código Municipio,Municipio,Área,Sector Electoral,Centro de Votación,JRV,Carga Electoral
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SUYAPA,CEB RAFAEL  PINEDA PONCE,107,347
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SUYAPA,CEB RAFAEL  PINEDA PONCE,108,347
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SUYAPA,CEB RAFAEL  PINEDA PONCE,109,347
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SUYAPA,CEB RAFAEL  PINEDA PONCE,110,347
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SUYAPA,CEB RAFAEL  PINEDA PONCE,111,347
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SUYAPA,CEB RAFAEL  PINEDA PONCE,112,347
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SUYAPA,CEB RAFAEL  PINEDA PONCE,113,347
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SUYAPA,CEB RAFAEL  PINEDA PONCE,114,347
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SUYAPA,CEB RAFAEL  PINEDA PONCE,115,347
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SUYAPA,CEB RAFAEL  PINEDA PONCE,116,346
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SUYAPA,CEB RAFAEL  PINEDA PONCE,117,346
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SUYAPA,CEB RAFAEL  PINEDA PONCE,118,346
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SUYAPA,CEB RAFAEL  PINEDA PONCE,119,346
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SUYAPA,CEB RAFAEL  PINEDA PONCE,120,346
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. TORONJAL,GIMNASIO JOSE SIMON AZCONA,121,340
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. TORONJAL,GIMNASIO JOSE SIMON AZCONA,122,340
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. TORONJAL,GIMNASIO JOSE SIMON AZCONA,123,340
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. TORONJAL,GIMNASIO JOSE SIMON AZCONA,124,340
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. TORONJAL,GIMNASIO JOSE SIMON AZCONA,125,339
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. KAWAS O LA FLORIDA,ESC. REPUBLICA DEL JAPON,126,354
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. KAWAS O LA FLORIDA,ESC. REPUBLICA DEL JAPON,127,354
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. KAWAS O LA FLORIDA,ESC. REPUBLICA DEL JAPON,128,354
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. KAWAS O LA FLORIDA,ESC. REPUBLICA DEL JAPON,129,354
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. KAWAS O LA FLORIDA,ESC. REPUBLICA DEL JAPON,130,354
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. KAWAS O LA FLORIDA,ESC. REPUBLICA DEL JAPON,131,354
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. KAWAS O LA FLORIDA,ESC. REPUBLICA DEL JAPON,132,353
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. KAWAS O LA FLORIDA,ESC. REPUBLICA DEL JAPON,133,353
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. SIERRA PINA,ESC. LEMPIRA,134,338
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. SIERRA PINA,ESC. LEMPIRA,135,338
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. SIERRA PINA,ESC. LEMPIRA,136,338
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. SIERRA PINA,ESC. LEMPIRA,137,337
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. SIERRA PINA,ESC. LEMPIRA,138,337
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. SIERRA PINA,ESC. LEMPIRA,139,337
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. SIERRA PINA,ESC. LEMPIRA,140,337
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. SIERRA PINA,ESC. LEMPIRA,141,337
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. SIERRA PINA,ESC. LEMPIRA,142,337
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. SIERRA PINA,ESC. LEMPIRA,143,337
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. SIERRA PINA,ESC. LEMPIRA,144,337
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. PIZATTY,INST. JUAN PINEDA CARIAS,145,351
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. PIZATTY,INST. JUAN PINEDA CARIAS,146,351
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. PIZATTY,INST. JUAN PINEDA CARIAS,147,351
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. PIZATTY,INST. JUAN PINEDA CARIAS,148,351
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. PIZATTY,INST. JUAN PINEDA CARIAS,149,351
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. PIZATTY,INST. JUAN PINEDA CARIAS,150,351
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. PIZATTY,INST. JUAN PINEDA CARIAS,151,351
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. PIZATTY,INST. JUAN PINEDA CARIAS,152,351
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. PIZATTY,INST. JUAN PINEDA CARIAS,153,351
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. PIZATTY,INST. JUAN PINEDA CARIAS,154,351
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. PIZATTY,INST. JUAN PINEDA CARIAS,155,351
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. PIZATTY,INST. JUAN PINEDA CARIAS,156,351
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. PIZATTY,INST. JUAN PINEDA CARIAS,157,351
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. PIZATTY,INST. JUAN PINEDA CARIAS,158,351
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. PIZATTY,INST. JUAN PINEDA CARIAS,159,351
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. PIZATTY,INST. JUAN PINEDA CARIAS,160,351
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. PIZATTY,INST. JUAN PINEDA CARIAS,161,351
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. PIZATTY,INST. JUAN PINEDA CARIAS,162,351
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. PIZATTY,INST. JUAN PINEDA CARIAS,163,351
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. PIZATTY,INST. JUAN PINEDA CARIAS,164,350
